date,sex,age,ethnicity,population
2024-01-01,male,overall,overall,17882.7
2024-01-01,female,overall,overall,16176.1
2023-01-01,male,overall,overall,17472.3
2023-01-01,female,overall,overall,15929.5
2022-01-01,male,overall,overall,17039.8
2022-01-01,female,overall,overall,15658.3
2021-01-01,male,overall,overall,17000.5
2021-01-01,female,overall,overall,15575.8
2020-01-01,male,overall,overall,16966.2
2020-01-01,female,overall,overall,15481.2
2019-01-01,male,overall,overall,16764.9
2019-01-01,female,overall,overall,15758.2
2018-01-01,male,overall,overall,16721.4
2018-01-01,female,overall,overall,15660.8
2017-01-01,male,overall,overall,16542.7
2017-01-01,female,overall,overall,15479.8
2016-01-01,male,overall,overall,16346.3
2016-01-01,female,overall,overall,15287.2
2015-01-01,male,overall,overall,16112.1
2015-01-01,female,overall,overall,15074
2014-01-01,male,overall,overall,15867.8
2014-01-01,female,overall,overall,14840.7
2013-01-01,male,overall,overall,15604.8
2013-01-01,female,overall,overall,14608.9
2012-01-01,male,overall,overall,15215.3
2012-01-01,female,overall,overall,14294.7
2011-01-01,male,overall,overall,14980
2011-01-01,female,overall,overall,14082
2010-01-01,male,overall,overall,14730.5
2010-01-01,female,overall,overall,13858.1
2009-01-01,male,overall,overall,14456.9
2009-01-01,female,overall,overall,13624.6
2008-01-01,male,overall,overall,14179.1
2008-01-01,female,overall,overall,13388.5
2007-01-01,male,overall,overall,13903.7
2007-01-01,female,overall,overall,13154.7
2006-01-01,male,overall,overall,13627.4
2006-01-01,female,overall,overall,12922.4
2005-01-01,male,overall,overall,13353.3
2005-01-01,female,overall,overall,12692.3
2004-01-01,male,overall,overall,13078.7
2004-01-01,female,overall,overall,12462.7
2003-01-01,male,overall,overall,12808.2
2003-01-01,female,overall,overall,12229.8
2002-01-01,male,overall,overall,12537.1
2002-01-01,female,overall,overall,12005.5
2001-01-01,male,overall,overall,12257.3
2001-01-01,female,overall,overall,11773.1
2000-01-01,male,overall,overall,11965.6
2000-01-01,female,overall,overall,11529.3
1999-01-01,male,overall,overall,11666.6
1999-01-01,female,overall,overall,11242.9
1998-01-01,male,overall,overall,11372.1
1998-01-01,female,overall,overall,10961.4
1997-01-01,male,overall,overall,11081.9
1997-01-01,female,overall,overall,10687.3
1996-01-01,male,overall,overall,10800.3
1996-01-01,female,overall,overall,10422.3
1995-01-01,male,overall,overall,10521.5
1995-01-01,female,overall,overall,10160.3
1994-01-01,male,overall,overall,10242.9
1994-01-01,female,overall,overall,9898.8
1993-01-01,male,overall,overall,9963.4
1993-01-01,female,overall,overall,9638.1
1992-01-01,male,overall,overall,9686.9
1992-01-01,female,overall,overall,9380.6
1991-01-01,male,overall,overall,9416.5
1991-01-01,female,overall,overall,9130.7
1990-01-01,male,overall,overall,9185.3
1990-01-01,female,overall,overall,8917.1
1989-01-01,male,overall,overall,8956.4
1989-01-01,female,overall,overall,8705.6
1988-01-01,male,overall,overall,8726
1988-01-01,female,overall,overall,8493.1
1987-01-01,male,overall,overall,8494.7
1987-01-01,female,overall,overall,8278.7
1986-01-01,male,overall,overall,8264
1986-01-01,female,overall,overall,8065.4
1985-01-01,male,overall,overall,8033.2
1985-01-01,female,overall,overall,7849.6
1984-01-01,male,overall,overall,7810.2
1984-01-01,female,overall,overall,7640.1
1983-01-01,male,overall,overall,7600.6
1983-01-01,female,overall,overall,7447.6
1982-01-01,male,overall,overall,7394
1982-01-01,female,overall,overall,7257
1981-01-01,male,overall,overall,7188.6
1981-01-01,female,overall,overall,7068.3
1980-01-01,male,overall,overall,6992
1980-01-01,female,overall,overall,6887.2
1979-01-01,male,overall,overall,6812.5
1979-01-01,female,overall,overall,6705.7
1978-01-01,male,overall,overall,6655.8
1978-01-01,female,overall,overall,6544.4
1977-01-01,male,overall,overall,6508.4
1977-01-01,female,overall,overall,6392.7
1976-01-01,male,overall,overall,6354.5
1976-01-01,female,overall,overall,6233.7
1975-01-01,male,overall,overall,6213.1
1975-01-01,female,overall,overall,6087.2
1974-01-01,male,overall,overall,6066.3
1974-01-01,female,overall,overall,5935
1973-01-01,male,overall,overall,5927.9
1973-01-01,female,overall,overall,5791.9
1972-01-01,male,overall,overall,5791.5
1972-01-01,female,overall,overall,5649.8
1971-01-01,male,overall,overall,5653.4
1971-01-01,female,overall,overall,5506.3
1970-01-01,male,overall,overall,5517
1970-01-01,female,overall,overall,5364.7
